,loss_1_name,loss_2_name,loss_3_name,loss_4_name,loss_5_name,win_1_name,win_2_name,win_3_name,win_4_name,win_5_name
0,Phoenix,Windranger,Dragon Knight,Death Prophet,Ursa,Weaver,Void Spirit,Queen of Pain,Bloodseeker,Drow Ranger
1,Treant Protector,Queen of Pain,Disruptor,Lone Druid,Pangolier,Batrider,Earth Spirit,Puck,Kunkka,Broodmother
2,Nature's Prophet,Earthshaker,Puck,Morphling,Kunkka,Vengeful Spirit,Batrider,Sand King,Bloodseeker,Ancient Apparition
3,Nature's Prophet,Beastmaster,Rubick,Ursa,Vengeful Spirit,Oracle,Death Prophet,Treant Protector,Pangolier,Lycan
4,Enchantress,Kunkka,Void Spirit,Phantom Lancer,Vengeful Spirit,Beastmaster,Mirana,Batrider,Warlock,Anti-Mage
5,Luna,Pangolier,Batrider,Rubick,Void Spirit,Nature's Prophet,Clockwerk,Weaver,Ursa,Storm Spirit
6,Troll Warlord,Vengeful Spirit,Pangolier,Spirit Breaker,Oracle,Nature's Prophet,Void Spirit,Luna,Batrider,Necrophos
7,Windranger,Ember Spirit,Keeper of the Light,Troll Warlord,Tusk,Void Spirit,Enigma,Lone Druid,Batrider,Necrophos
8,Luna,Treant Protector,Dragon Knight,Ursa,Queen of Pain,Nature's Prophet,Earth Spirit,Keeper of the Light,Troll Warlord,Sand King
9,Earth Spirit,Grimstroke,Shadow Demon,Underlord,Lifestealer,Mirana,Luna,Ogre Magi,Kunkka,Clockwerk
10,Enchantress,Rubick,Treant Protector,Spectre,Void Spirit,Mirana,Sand King,Vengeful Spirit,Luna,Viper
11,Nature's Prophet,Earth Spirit,Chen,Riki,Templar Assassin,Keeper of the Light,Void Spirit,Ursa,Earthshaker,Monkey King
12,Tusk,Weaver,Shadow Demon,Viper,Spectre,Earthshaker,Lone Druid,Puck,Morphling,Nature's Prophet
13,Bane,Ember Spirit,Beastmaster,Enigma,Phantom Assassin,Queen of Pain,Shadow Demon,Chen,Kunkka,Wraith King
14,Io,Treant Protector,Silencer,Tiny,Luna,Weaver,Earthshaker,Enigma,Beastmaster,Spectre
15,Rubick,Chen,Death Prophet,Pangolier,Troll Warlord,Enchantress,Lone Druid,Earthshaker,Mirana,Beastmaster
16,Dragon Knight,Rubick,Treant Protector,Riki,Templar Assassin,Witch Doctor,Lone Druid,Sniper,Mars,Troll Warlord
17,Keeper of the Light,Legion Commander,Earthshaker,Timbersaw,Anti-Mage,Ember Spirit,Witch Doctor,Dazzle,Pangolier,Morphling
18,Earthshaker,Lycan,Disruptor,Necrophos,Templar Assassin,Queen of Pain,Tidehunter,Keeper of the Light,Troll Warlord,Enigma
19,Dragon Knight,Rubick,Vengeful Spirit,Pangolier,Spectre,Queen of Pain,Witch Doctor,Earth Spirit,Bloodseeker,Bristleback
20,Ember Spirit,Enchantress,Dark Willow,Beastmaster,Shadow Fiend,Necrophos,Rubick,Bane,Monkey King,Broodmother
21,Shadow Demon,Lone Druid,Witch Doctor,Centaur Warrunner,Clinkz,Queen of Pain,Earthshaker,Jakiro,Beastmaster,Chaos Knight
22,Rubick,Void Spirit,Timbersaw,Vengeful Spirit,Drow Ranger,Dragon Knight,Chen,Lion,Death Prophet,Monkey King
23,Chen,Pangolier,Earthshaker,Alchemist,Dark Seer,Queen of Pain,Dragon Knight,Vengeful Spirit,Rubick,Bloodseeker
24,Oracle,Death Prophet,Clockwerk,Void Spirit,Kunkka,Earthshaker,Ancient Apparition,Enigma,Lycan,Mirana
25,Shadow Demon,Death Prophet,Elder Titan,Beastmaster,Anti-Mage,Ember Spirit,Sniper,Weaver,Pangolier,Mirana
26,Enchantress,Earthshaker,Luna,Visage,Meepo,Ember Spirit,Chen,Rubick,Enigma,Spectre
27,Grimstroke,Void Spirit,Oracle,Monkey King,Lone Druid,Keeper of the Light,Dragon Knight,Earthshaker,Storm Spirit,Vengeful Spirit
28,Skywrath Mage,Clockwerk,Axe,Monkey King,Void Spirit,Earthshaker,Chen,Nature's Prophet,Troll Warlord,Batrider
29,Death Prophet,Windranger,Mars,Treant Protector,Clinkz,Ember Spirit,Bane,Sniper,Queen of Pain,Dragon Knight
